message_id,user_id,date,created_time,message
17236,174357,"28,June,2004",2004-06-28,"    You Are Right Brained In Love  Bit of a drama queen  Peacemaker, first to end a fight  Good at thinking up creative dates  Tend to fall in love and get hurt easily  Going with your gut instead of your head  Emphathetic and caring, sometimes to a fault  Good at recognizing patterns in relationships  Been in love many times, perhaps too many to count  Wildly passionate and intense when falling in love  Spontaneous with relationships, going with the flow  Overly visual - can play back past dates like movies in your mind  Roses, love poems, and stuffed animals are a good start to winning your heart      urlLink  Are You Right Brained or Left Brained in Love? Take This Quiz :-)        urlLink Find the Love of Your Life  (and More Love Quizzes) at Your New Romance."
17237,174357,"24,June,2004",2004-06-24,"    Im so tired. I think today is just one of those days. I've been dragging all day it seems like. I'm kind of bored. I should be at the Blue Note right now, but I really didn't feel like going tonight. I really dont have any money either but that's okay. There is a free concert saturday. My friend Ashley wants me to go with her. I'm thinking it might be cool. Our friends Denial are opening up for Lit. I think Lit is pretty awesome anyway, so it's just an added bonus that our friends are the opening act. It's kind of exciting. I'm really really happy for them. Blah I need to take a shower. I just feel like one. I'll feel refreshed or something. "
17238,174357,"28,July,2004",2004-07-28,"    So I started this new job this week and it seems pretty cool. It's a lot of training though. But it's okay. Hopefully i'll be making a lot of money soon. I have cramps so it sucks right now, because when I have cramps I cant sleep, and I have to get up early in the morning for training. So I probably wont be concentrating too much tomorrow. Well i'm sure nobody really cared to hear that, but hey this is my blog lol so oh well. It's not like anybody reads it anyway.   Ugh there is this really disgusting guy that keeps telling everybody that I went out with him and i'm like wtf? And my boyfriend is like wtf? Cause this guy is absolutely repulsive and he's just ick, and never in a million years would I go out with him. I'm like....ok whatever if anybody is dumb enough to believe that I would go out with him theny so be it, cause they must not really know me as a person. Cause if they did they would know that I dont cheat on my boyfriends and that this guy is totally not my style.&nbsp; So that's that.   I need to study this packet that I got from my job. I have a test tomorrow. Since i'm gonna be up anyway I might as well study right? But I just dont feel like it. I feel more like laying around on the couch curled up in a ball, cause that's just what I do when&nbsp;I have cramps. You know, maybe if I got up off my fat butt and exercised I wouldn't have cramps this bad. I'll try it, but it's highly unlikely that i'll really exercise for more than 30 seconds. Cause i'll just be like...owwww...pain. And then i'll stop. Cause....well...i'm a loser in a nut shell. AAAAHHHHHHHH I have to e-mail mary. "
25669,446275,"28,May,2004",2004-05-28,"    I just don't understand how all of these minorities - blacks, immigrants, women - got the right to vote.  Now, despite how despicable they may be, blacks and immigrants are a topic for another time, right now: women.  Women just don't really need to vote.  Everybody knows that all that they do [or should do, at least] all day is sit around the house and take care of the children while cooking and watching soap operas.  They aren't informed of political issues, they don't know what is going on in the world.  And, by golly, they should not be.  Just think, if these females started watching the news they would stop taking care of our nation, Under God's children.  In addition to this, every single time the woman has sexual relations [because, you see, the average woman is a whore.  Every good Christian knows that one should only have sex for procreation and one should never  enjoy  it.  That's against God's way.] it's equivalent to her selling her vote.  Because everybody knows that women don't really think, they just latch on to others' opinions.  So if this hypothetical woman was having sexual intercourse with a man out of wedlock [obviously they are Liberals because only Liberals have premarital sex.  this is another instance that the death penalty would come in handy] and he whispered in her ear, ""Oh woman with whom I am fornicating, won't you please vote for that Liberal candidate John Kerry?"" she would do it.  This is not the way to a good democratic system.  In another growing trend, women are getting entirely too uppity lately.  Now they want to kill their babies and get upset when the Good Christians of our nation tell them that this is unacceptable behaviour.  As one of my fellow authors pointed our ina previous post, life - as well as the soul - is formed at conception and if is the worst sin  ever  to take a human life.  These baby killer, anti-life Liberals are just the source of all evil in the world.  Masturbation is also, as a commenter pointed out, ""evil and unnatural"".  When people masturbate it is exactly like killing children.  And everybody knows why the Liberals want to kill children.  Because they are afraid that the children will grow up to be good law-abiding Republican Christians in our United States Under God Our Holy Master of America.  Just another string of examples of why Liberals are the Agents of Lucifer, the Devil and Enemy of our Lord.   "
25670,446275,"25,May,2004",2004-05-25,"    [this is a special guest submission by our dear friend Justin, who is obviously brilliant just like me.]  On May 22, the World Health Organization succumbed to the mass liberal Jewish gay conspiracy and raised the threat level of God's smite upon the gays, AIDs, to a higher level. Although they have not officially been inducted into the Axis of Evil, it seems to only be a matter of time.  Showing once again their uncanny ability to buckle under even the slightest of pressure, WHO shows yet another step in the increasingly slippery slope of liberalism infecting us in America today. Citing work by Dr Lee Jong-wook, a suspected Arab sympathizer, the liberal-leaning ""international"" organization sought to overcome the ""stigma"" and ""discrimination"" of having HIV or AIDs.  This is where I must disagree. AIDs is God's punishment upon homosexuals, and any stigma it incurs is well deserved. After all, in a recently conducted study, over 90% of America's favored a heterosexual president over a homosexual president. Disturbing God's natural order would be like sticking a very personal part of your body into a beehive - of course, I wouldn't put it past liberal's like Bill Clinton!  Officials from WHO also spoke about the need to ""prevent and treat HIV/AID."" Well, yeah, if by ""prevent"" you mean ""stop engaging in homosexual sex"" and by ""treat"" you mean ""hellfire and damnation."" You say your average American doesn't know this? Well I'll be darned, and the public school system was doing so well!  Sorry to bore all of you that pay attention to Fox News with this - I know you already know.   "
25671,446275,"24,May,2004",2004-05-24,"    Another thing that is terribly wrong with Liberals:  they allow websites like  urlLink Erowid.org  to exist.  As we all know, marijuana is the scourge of the devil.  It steals young children from their religious beliefs and leads them down the path of drug abuse and whatnot.  They start smoking the marijuana and they enter the forbidden dark gateway of  harder drugs .  They start stealing and they can only have fun by messing up their brain functions.    Is this what you want for the future of our population?  A bunch of doped up zombies wandering around looking for their next fix?  I believe in the deaht penalty and I believe in it for drug users.  Their type should not be welcome in our United States Under Our Lord Jesus Of America.   "
25672,446275,"16,May,2004",2004-05-16,"    I come back here to make another go at freeing people from their terrible liberal views and, what do I see but a comment claiming that gay people cannot get married.  Well, my friend, there you are incorrect.  As  urlLink Orson Scott Card said , homosexuals certainly can get married, they just must find a member of the opposite sex willing to marry them.  It's as easy as that.    Also, the 1st and 14th amendments may protect you but not if you're breaking the law.  Unless you are in one of the states where  urlLink engaging in homosexual behaviour  is legal, you really have no protection there.  The profile of the commenter claims that he is moving to Kansas in July, if this really is the case, I'd liek to declare that  I  am from Kansas and I know for a fact that being homosexual is illegal in our great and noble state.    I can also see that the Liberals are not only scumbags but also wimps.  They hide behind their 'anonymous' name in the comments of our great weblog thus showing that they cannot really stand up and declare their true opinions without attempting to disguise themselves.  If your views were worthwhile you would not state them anonymously.   "
25673,446275,"16,May,2004",2004-05-16,"    As any good Christian knows, cloning is evil because clones do not have souls. Only people born naturally have souls, and they get these souls at the moment of conception when they become real people just like you and me. (unless you are a democrat, they don't have souls)   Now, those of you who know anything about me know that I think trying to save endangered species or protect the environment is a very bad idea. It would cost good, Christian, corporations a lot of money, and if God wanted all the animals to live he wouldn't have made them so delicious, or their habitats so fun to destroy.  Now you are probably wondering, what do these two evils, cloning and the environment, have to do with each other? Well, I'll show you. Some crazy liberals have combined the two to commit the most heinous of sins,  urlLink cloning pandas !!  I find this appalling, naturally. It's unnaturaly and against the will of God! First of all, Pandas are Chinese and therefor they are communist Athiest bears! They are not worthy of saving!  And even if they were saving Glorious Bald Eagles, that would not justify trying to play god with their evil, secular, science!   "
25674,446275,"15,May,2004",2004-05-15,"    A previous comment rather rudely pointed out to me that America not following the Geneva Convention ""makes us look like bullies to the rest of the world.""  My question to you, my conservative friends and liberal enemies, is, why shouldn't America be a bully?  Everybody knows that all of those little worthless third-world countries such as Zimbabwe, France, Iraq, Afganistan, and England would not get by if not for us!  Who do they export their goods to?  Who gives them aid when thye need it?  Who pays for them when they cannot pick up a resteraunt bill?  Yes.  That is all the Holy United Conservative States of America.  If you are not with us, you are against us.  That is the way it's been since this great country was started and this is the way it shall always be.   Also, of course Bush is a War Hero.  He is sending Americans to Fight in Iraq because he is too busy leading the country.  If he was not leading the country, our great and noble America, then all really would be lost.  We could not survive if we did not have him for president.  This is why he, himself, cannot go and fight.  He is too patriotic to do that.  Another thing about the liberals that I absolutely hate.  Waht is it with their insistence that ""under God"" should be taken out of the Pledge of Alliegience? I mean, if the founders of this country had not wnted it there, thy would nt ohave put it there.  What next?  Take our holy Lord, Saviour of Mankind, and Holy Father, our God off of money?  Out of God Bless America?  What will these liberals want?  We already know that if we give them an inch they'll next want a country.  Those liberal scumbags.  They should have been the fisrt to be put in the concentration camps.   "
25675,446275,"15,May,2004",2004-05-15,"    If those hippy liberals have their way, gays won't just be invading our homes on ""Will and Grace"", but they'll be invading the holy sanctity of marriage!   urlLink Sign the petition  and  urlLink buy a t-shirt  to show those sodomites what we think!   "
