user_id,gender,age,occu,is_student
174357,1,23,indUnk,
446275,1,17,indUnk,
483266,0,33,indUnk,
734023,1,14,Student,1.0
791840,0,38,Student,1.0
1039908,1,16,indUnk,
1111991,1,33,indUnk,
1197086,0,16,Student,1.0
1223044,0,16,indUnk,
1225881,0,17,Internet,0.0
1232458,1,38,indUnk,
1254400,0,34,Religion,0.0
1550687,1,24,Communications-Media,0.0
1599685,0,23,Student,1.0
1733718,1,24,Student,1.0
1916038,1,14,indUnk,
2166338,0,17,Student,1.0
2278942,0,26,Technology,0.0
2428393,1,17,indUnk,
2510334,0,17,Student,1.0
2869535,1,24,Student,1.0
2952444,0,13,indUnk,
2952959,1,24,indUnk,
3065484,0,14,Education,0.0
3122944,1,24,indUnk,
3125462,0,15,Student,1.0
3126039,1,17,Student,1.0
3191071,1,14,indUnk,
3215937,1,26,Accounting,0.0
3288591,0,37,Internet,0.0
3294176,0,37,indUnk,
3295677,1,43,Technology,0.0
3297517,1,27,indUnk,
3306195,0,33,indUnk,
3306314,0,24,Student,1.0
3307733,1,26,Manufacturing,0.0
3308014,1,35,indUnk,
3309198,0,14,Student,1.0
3309541,0,37,Banking,0.0
3311843,0,41,indUnk,
3320342,1,23,indUnk,
3324571,1,36,indUnk,
3324842,0,25,Arts,0.0
3326628,1,23,indUnk,
3327285,0,25,Technology,0.0
3327596,1,15,indUnk,
3330196,0,23,Marketing,0.0
3331655,0,13,indUnk,
3332079,1,16,indUnk,
3343294,1,25,indUnk,
3344485,0,25,indUnk,
3348721,0,26,Technology,0.0
3354517,1,16,Student,1.0
3354778,0,17,Student,1.0
3358293,1,26,indUnk,
3361075,1,16,Student,1.0
3371255,0,15,Student,1.0
3371580,0,15,indUnk,
3372184,0,26,Communications-Media,0.0
3374253,0,26,Telecommunications,0.0
3376420,1,15,Student,1.0
3376440,0,37,Communications-Media,0.0
3377942,1,24,indUnk,
3388444,0,24,Communications-Media,0.0
3389016,1,27,Technology,0.0
3389942,0,17,Technology,0.0
3392887,1,24,Science,0.0
3393040,0,26,Religion,0.0
3396638,1,47,indUnk,
3403416,0,27,Banking,0.0
3413492,0,27,Manufacturing,0.0
3415194,1,45,Government,0.0
3417884,1,17,indUnk,
3418474,0,15,Student,1.0
3419991,1,24,indUnk,
3425069,0,23,Technology,0.0
3426788,0,23,Technology,0.0
3428326,0,23,Manufacturing,0.0
3431135,1,15,Student,1.0
3434961,0,24,indUnk,
3435900,1,34,indUnk,
3441506,1,26,indUnk,
3441713,1,17,indUnk,
